CellID;cellType;HIF1A;ATP1A2;FGFR3;LMO3;TGFBI;ANXA2;EGFR;MBP;SOX9;STMN2;dimension 1;dimension 2;dimension 3;Dataset
1001000177.D12;Immune cell;514.44977;0;0;0;2923.3262;3342.1855;0;384.09933;0;0;6.7686925;-4.3966317;0.5053499;Glioblastoma
1001000177.D8;Immune cell;503.3067;0;0;0;3126.7603;826.67474;0;638.91266;0;0;7.266454;-3.3396733;0.7590719;Glioblastoma
1001000177.D5;Immune cell;658.18445;0;0;0;1245.9064;203.3806;0;0;0;0;7.525976;-5.001127;0.24797769;Glioblastoma
1001000177.F1;Immune cell;32.35519;0;0;0;5332.897;2554.157;0;336.87463;0;0;7.1728554;-4.430754;0.5938504;Glioblastoma
1.00E+19;Immune cell;327.98618;0;0;0;598.3263;646.0333;0;103.36533;0;0;6.27272;-4.1608076;0.39340687;Glioblastoma
1001000177.C4;Neoplastic;0;0;0;0;0;0;0;0;0;0;-4.21668;4.976328;2.5329444;Glioblastoma
1001000177.F10;Immune cell;912.35474;0;0;0;576.8012;0;0;2.1931603;0;0;6.6316204;-5.317427;-0.9065978;Glioblastoma
1001000177.F6;Immune cell;308.76862;0;0;0;1580.4078;621.6;0;16.25098;0;0;7.6724377;-2.898262;1.1814245;Glioblastoma
1001000177.A4;Immune cell;860.81274;0;0;0;0;388.36154;0;0;23.235306;0;6.673579;-5.378148;-0.9518413;Glioblastoma
1001000177.C9;Immune cell;819.9099;0;0;0;4381.262;16.818665;0;227.05199;2.102333;0;5.916647;-4.9628553;0.34664807;Glioblastoma
1001000177.H6;Immune cell;651.9262;0;0;0;106.62345;377.75165;0;356.42697;9.139153;0;6.2692933;-5.218521;-1.0621797;Glioblastoma
1001000177.C11;Immune cell;205.38;0;0;0;580.31793;265.0835;0;0;0;0;6.2519507;-4.933989;-1.1841555;Glioblastoma
1.00E+11;Immune cell;970.71747;0;0;0;1145.9202;1.5784024;0;0;0;0;6.6430554;-5.309605;-0.8463545;Glioblastoma
1001000177.B9;Immune cell;232.853;0;0;0;961.68286;1095.5734;0;0;0;0;7.6465178;-5.0987053;0.27283108;Glioblastoma
1001000177.C5;Immune cell;631.0418;0;0;0;3046.8093;739.44165;0;313.5852;0;0;7.041379;-3.9459586;1.0001038;Glioblastoma
1.00E+13;Immune cell;876.36914;0;0;0;1015.0186;0;0;567.6779;0;0;5.4632673;-4.748569;0.11523633;Glioblastoma
1001000177.G3;Immune cell;337.35477;0;0;0;861.5522;33.735477;0;311.40442;0;0;5.677866;-4.9238696;-1.0418394;Glioblastoma
1001000177.A5;Immune cell;33.38878;0;0;0;2668.067;300.49902;0;39.459465;0;0;7.2431483;-2.629187;-0.08364406;Glioblastoma
1001000177.G1;Immune cell;928.96027;0;0;0;48.750103;0;0;216.66711;0;0;6.490687;-5.2540293;-0.5029385;Glioblastoma
1001000177.D2;Immune cell;348.0031;0;0;0;0;0;0;0;0;0;6.06966;-5.077359;-1.5801462;Glioblastoma
1001000177.D9;Immune cell;394.64517;0;0;0;3212.0686;1304.0449;0;0;0;0;5.966786;-5.249421;-1.4238055;Glioblastoma
